client_gb,compute_share,mean_s,n_peers,p50_s,p95_s,peer_gb,profile,tok_per_s,topology
0.45268992,0.12214752070972881,0.12569361321496686,2,0.11335254363545356,0.20505864172737864,35.006205015,national,7.9558537177999265,A_chain
0.45268992,0.11140979375606576,0.1647356359301811,3,0.14912276495366947,0.3304206180711937,23.33747001,national,6.070331985872346,A_chain
0.45268992,0.10284821371186288,0.2076182215772685,4,0.18658234930217416,0.3760773396596565,17.5031025075,national,4.816532924726136,A_chain
0.45268992,0.09239672090506325,0.3609777803427232,8,0.33259244533529403,0.5373108615969899,8.75155125375,national,2.770253612426144,A_chain
0.45268992,0.09552395272690943,0.1607257947872876,2,0.14696899175406408,0.32017465093735314,35.006205015,national,6.221776668290544,A_relay
0.45268992,0.07699167114523725,0.23837855381310488,3,0.2161788515155666,0.40571168599352075,23.33747001,national,4.195008250549361,A_relay
0.45268992,0.0671007270494693,0.3182255120352633,4,0.28779062089908236,0.4885195138335229,17.5031025075,national,3.1424256138495514,A_relay
0.45268992,0.05360114375049454,0.6222472299940073,8,0.5779642269527453,0.8454817389205206,8.75155125375,national,1.6070782669609165,A_relay
24.71392683,0.0015031062358435543,3.58580265061374,2,3.5402976279349625,4.193653902877212,22.6492416,national,0.27887758960433634,B_star
19.05161643,0.0013199354803005274,3.9147712815973112,3,3.8735161361104424,4.5879599637201895,16.9869312,national,0.2554427648687507,B_star
15.654230190000002,0.001210817789806837,4.15949022672133,4,4.098632499577668,4.933071906847117,13.589544960000001,national,0.24041407612303456,B_star
9.61443243,0.0010263131495773143,4.6757860477752295,8,4.614024163385946,5.536316153282376,7.5497472000000005,national,0.21386778389396296,B_star
0.45268992,0.05977721991236149,0.2568396999018164,2,0.23423586492737736,0.4311656629775675,35.006205015,researcher,3.8934790859134156,A_chain
0.45268992,0.055059292875402004,0.33333452474205627,3,0.31113116455879525,0.5053062607445883,23.33747001,researcher,2.999989277359819,A_chain
0.45268992,0.051260910125449574,0.41655841012184014,4,0.39108272120404475,0.5997555479630318,17.5031025075,researcher,2.400623719750389,A_chain
0.45268992,0.04447491230381567,0.7499320739614888,8,0.7126427017328512,0.9788837091389078,8.75155125375,researcher,1.3334541016728843,A_chain
0.45268992,0.04605626512837108,0.33335667102971667,2,0.3080640907031593,0.5119236143439949,35.006205015,researcher,2.9997899754370185,A_relay
0.45268992,0.037201430718448565,0.49334562861729647,3,0.46370015550703503,0.6905939603165278,23.33747001,researcher,2.0269765089491267,A_relay
0.45268992,0.03252536412677187,0.6565080452298414,4,0.6203312135265784,0.8844395981854832,17.5031025075,researcher,1.523210579468075,A_relay
0.45268992,0.02561596043962553,1.302046171638427,8,1.2653717963780964,1.6257434846425733,8.75155125375,researcher,0.7680219194851224,A_relay
24.71392683,0.0007260154731036209,7.423792757475566,2,7.351069927937825,8.314611709663188,22.6492416,researcher,0.1347020360977919,B_star
19.05161643,0.0006476493693167695,7.973191376206211,3,7.901583907324569,8.934864601308128,16.9869312,researcher,0.12542029318200287,B_star
15.654230190000002,0.000600399315429284,8.384275102383526,4,8.322590835566267,9.439906922281624,13.589544960000001,researcher,0.11927089555013703,B_star
9.61443243,0.0005189380362778129,9.244589623554965,8,9.162550478091255,10.514588411656606,7.5497472000000005,researcher,0.10817137814879602,B_star
0.45268992,0.053923727786380306,0.284719989761791,2,0.25979859022409446,0.4530035897915863,35.006205015,continental,3.5122226607153326,A_chain
0.45268992,0.048641282403914785,0.3773165984986181,3,0.34842536266984425,0.5713469539009006,23.33747001,continental,2.6502942197059545,A_chain
0.45268992,0.04507520042186883,0.47372308993430545,4,0.4432034479817618,0.6940448153391975,17.5031025075,continental,2.1109378479707988,A_chain
0.45268992,0.03891297692631705,0.8571218615941691,8,0.8134495857926443,1.1457112714161006,8.75155125375,continental,1.1666952446412817,A_chain
0.45268992,0.04113010965245958,0.3732828176969786,2,0.34347516646014986,0.5733978516475166,35.006205015,continental,2.6789339144234985,A_relay
0.45268992,0.03214129111382494,0.5710151206515025,3,0.5268499177308419,0.801278960652132,23.33747001,continental,1.7512671098079593,A_relay
0.45268992,0.028658696026369692,0.7450849544448271,4,0.7049426345491314,1.034568098189522,17.5031025075,continental,1.3421288324700014,A_relay
